benchmark,suite,executor,commit,total_split_count,unforced_split_count,node_created_splitting,node_created_nosplitting
Permute,game-benchs-steady,TruffleRuby-ce,6455c7aba50557c32d832f884062edd34a43e2ab,3739,3676,3018,32578
Json,game-benchs-steady,TruffleRuby-ce-native,6455c7aba50557c32d832f884062edd34a43e2ab,3696,3674,778,6432
Towers,game-benchs-interp,TruffleRuby-ce-interp,6455c7aba50557c32d832f884062edd34a43e2ab,3632,3611,730,4830
Mandelbrot,game-benchs-interp,TruffleRuby-ce-interp,6455c7aba50557c32d832f884062edd34a43e2ab,3513,3495,672,4772
Towers,game-benchs-steady,TruffleRuby-ce,6455c7aba50557c32d832f884062edd34a43e2ab,3728,3665,3007,32716
BinaryTrees,yjit-benchs-steady,TruffleRuby-ce,6455c7aba50557c32d832f884062edd34a43e2ab,4149,4084,3222,33562
LiquidCartParse,ruby-benchs-interp,TruffleRuby-ce-interp,6455c7aba50557c32d832f884062edd34a43e2ab,14457,14349,10284,100538
Permute,game-benchs-steady,TruffleRuby-ce-native,6455c7aba50557c32d832f884062edd34a43e2ab,3643,3622,741,4692
Json,game-benchs-interp,TruffleRuby-ce-interp,6455c7aba50557c32d832f884062edd34a43e2ab,3696,3674,778,6432
MatrixMultiply,ruby-benchs-steady,TruffleRuby-ce,6455c7aba50557c32d832f884062edd34a43e2ab,3905,3838,3099,33361
MatrixMultiply,ruby-benchs-steady,TruffleRuby-ce-native,6455c7aba50557c32d832f884062edd34a43e2ab,3809,3784,822,5475
Acid,ruby-benchs-steady,TruffleRuby-ce-native,6455c7aba50557c32d832f884062edd34a43e2ab,3767,3745,797,4747
RedBlack,ruby-benchs-steady,TruffleRuby-ce,6455c7aba50557c32d832f884062edd34a43e2ab,4708,4638,3758,34715
Acid,ruby-benchs-steady,TruffleRuby-ce,6455c7aba50557c32d832f884062edd34a43e2ab,3863,3799,3074,32633
BinaryTrees,yjit-benchs-interp,TruffleRuby-ce-interp,6455c7aba50557c32d832f884062edd34a43e2ab,4053,4030,945,5676
Json,game-benchs-steady,TruffleRuby-ce,6455c7aba50557c32d832f884062edd34a43e2ab,3792,3728,3055,34318
Sieve,game-benchs-interp,TruffleRuby-ce-interp,6455c7aba50557c32d832f884062edd34a43e2ab,3628,3607,728,4663
MailBench,yjit-benchs-steady,TruffleRuby-ce,6455c7aba50557c32d832f884062edd34a43e2ab,58430,58051,52292,710530
MailBench,yjit-benchs-interp,TruffleRuby-ce-interp,6455c7aba50557c32d832f884062edd34a43e2ab,59016,58676,50673,683030
Mandelbrot,game-benchs-steady,TruffleRuby-ce,6455c7aba50557c32d832f884062edd34a43e2ab,3609,3549,2949,32658
Bounce,game-benchs-steady,TruffleRuby-ce-native,6455c7aba50557c32d832f884062edd34a43e2ab,3703,3681,765,5025
BinaryTrees,yjit-benchs-steady,TruffleRuby-ce-native,6455c7aba50557c32d832f884062edd34a43e2ab,4053,4030,945,5676
BinaryTrees,ruby-benchs-interp,TruffleRuby-ce-interp,6455c7aba50557c32d832f884062edd34a43e2ab,4053,4030,945,5676
Bounce,game-benchs-interp,TruffleRuby-ce-interp,6455c7aba50557c32d832f884062edd34a43e2ab,3703,3681,765,5025
Towers,game-benchs-steady,TruffleRuby-ce-native,6455c7aba50557c32d832f884062edd34a43e2ab,3632,3611,730,4830
BinaryTrees,ruby-benchs-steady,TruffleRuby-ce-native,6455c7aba50557c32d832f884062edd34a43e2ab,4053,4030,945,5676
Bounce,game-benchs-steady,TruffleRuby-ce,6455c7aba50557c32d832f884062edd34a43e2ab,3799,3735,3042,32911
BinaryTrees,ruby-benchs-steady,TruffleRuby-ce,6455c7aba50557c32d832f884062edd34a43e2ab,4149,4084,3222,33562
Sieve,game-benchs-steady,TruffleRuby-ce-native,6455c7aba50557c32d832f884062edd34a43e2ab,3628,3607,728,4663
Sieve,game-benchs-steady,TruffleRuby-ce,6455c7aba50557c32d832f884062edd34a43e2ab,3724,3661,3005,32549
Permute,game-benchs-interp,TruffleRuby-ce-interp,6455c7aba50557c32d832f884062edd34a43e2ab,3643,3622,741,4692
Acid,ruby-benchs-interp,TruffleRuby-ce-interp,6455c7aba50557c32d832f884062edd34a43e2ab,3767,3745,797,4747
LiquidCartParse,ruby-benchs-steady,TruffleRuby-ce-native,6455c7aba50557c32d832f884062edd34a43e2ab,14450,14342,10277,100584
MailBench,yjit-benchs-steady,TruffleRuby-ce-native,6455c7aba50557c32d832f884062edd34a43e2ab,59016,58676,50673,683030
LiquidCartParse,ruby-benchs-steady,TruffleRuby-ce,6455c7aba50557c32d832f884062edd34a43e2ab,74354,73794,67464,157019
RedBlack,ruby-benchs-steady,TruffleRuby-ce-native,6455c7aba50557c32d832f884062edd34a43e2ab,4612,4584,1481,6829
Mandelbrot,game-benchs-steady,TruffleRuby-ce-native,6455c7aba50557c32d832f884062edd34a43e2ab,3513,3495,672,4772
ImageDemoConv,ruby-benchs-steady,TruffleRuby-ce,6455c7aba50557c32d832f884062edd34a43e2ab,3750,3686,3023,33807
SinatraHello,ruby-benchs-steady,TruffleRuby-ce-native,6455c7aba50557c32d832f884062edd34a43e2ab,64210,63651,51948,297293
AsciidoctorConvertSmall,ruby-benchs-steady,TruffleRuby-ce,6455c7aba50557c32d832f884062edd34a43e2ab,105490,104865,98244,105476
LiquidCartRender,ruby-benchs-interp,TruffleRuby-ce-interp,6455c7aba50557c32d832f884062edd34a43e2ab,29561,29382,23504,152766
PsychLoad,yjit-benchs-interp,TruffleRuby-ce-interp,6455c7aba50557c32d832f884062edd34a43e2ab,14558,14457,9530,43688
LiquidCartRender,ruby-benchs-steady,TruffleRuby-ce,6455c7aba50557c32d832f884062edd34a43e2ab,89504,88877,80761,208066
FannkuchRedux,yjit-benchs-interp,TruffleRuby-ce-interp,6455c7aba50557c32d832f884062edd34a43e2ab,3846,3823,858,5564
Queens,game-benchs-steady,TruffleRuby-ce-native,6455c7aba50557c32d832f884062edd34a43e2ab,3838,3813,831,4788
OptCarrot,ruby-benchs-steady,TruffleRuby-ce-native,6455c7aba50557c32d832f884062edd34a43e2ab,36173,35914,27636,25308
CD,game-benchs-steady,TruffleRuby-ce,6455c7aba50557c32d832f884062edd34a43e2ab,4253,4181,3485,35528
Queens,game-benchs-interp,TruffleRuby-ce-interp,6455c7aba50557c32d832f884062edd34a43e2ab,3838,3813,831,4788
FannkuchRedux,yjit-benchs-steady,TruffleRuby-ce-native,6455c7aba50557c32d832f884062edd34a43e2ab,3846,3823,858,5564
SinatraHello,ruby-benchs-interp,TruffleRuby-ce-interp,6455c7aba50557c32d832f884062edd34a43e2ab,64288,63729,52026,297260
CD,game-benchs-interp,TruffleRuby-ce-interp,6455c7aba50557c32d832f884062edd34a43e2ab,4157,4127,1208,7642
NBody,game-benchs-interp,TruffleRuby-ce-interp,6455c7aba50557c32d832f884062edd34a43e2ab,3648,3625,737,5376
NBody,game-benchs-steady,TruffleRuby-ce-native,6455c7aba50557c32d832f884062edd34a43e2ab,3686,3663,775,5376
PsychLoad,yjit-benchs-steady,TruffleRuby-ce,6455c7aba50557c32d832f884062edd34a43e2ab,70548,70019,63258,99746
ImageDemoConv,ruby-benchs-steady,TruffleRuby-ce-native,6455c7aba50557c32d832f884062edd34a43e2ab,3654,3632,746,5921
AsciidoctorConvertSmall,ruby-benchs-interp,TruffleRuby-ce-interp,6455c7aba50557c32d832f884062edd34a43e2ab,43330,43163,38751,47247
Queens,game-benchs-steady,TruffleRuby-ce,6455c7aba50557c32d832f884062edd34a43e2ab,3934,3867,3108,32674
LeeBench,game-benchs-steady,TruffleRuby-ce-native,6455c7aba50557c32d832f884062edd34a43e2ab,10886,10770,6302,19017
LeeBench,game-benchs-steady,TruffleRuby-ce,6455c7aba50557c32d832f884062edd34a43e2ab,10945,10788,8550,46522
OptCarrot,ruby-benchs-interp,TruffleRuby-ce-interp,6455c7aba50557c32d832f884062edd34a43e2ab,31194,30950,22934,25308
SpectralNorm,game-benchs-steady,TruffleRuby-ce-native,6455c7aba50557c32d832f884062edd34a43e2ab,4114,4083,1083,5592
