benchmark,suite,executor,commit,total_split_count,unforced_split_count,node_created_splitting,node_created_nosplitting
Permute,game-benchs-steady,TruffleRuby-ce,e05d40b295e85d77a8acec3ed38fafaa120d8c57,3473,3417,2801,32578
Json,game-benchs-steady,TruffleRuby-ce-native,e05d40b295e85d77a8acec3ed38fafaa120d8c57,3390,3368,731,6432
Towers,game-benchs-interp,TruffleRuby-ce-interp,e05d40b295e85d77a8acec3ed38fafaa120d8c57,3326,3305,683,4830
Mandelbrot,game-benchs-interp,TruffleRuby-ce-interp,e05d40b295e85d77a8acec3ed38fafaa120d8c57,3207,3189,625,4772
Towers,game-benchs-steady,TruffleRuby-ce,e05d40b295e85d77a8acec3ed38fafaa120d8c57,3462,3406,2790,32716
BinaryTrees,yjit-benchs-steady,TruffleRuby-ce,e05d40b295e85d77a8acec3ed38fafaa120d8c57,3883,3825,3005,33562
LiquidCartParse,ruby-benchs-interp,TruffleRuby-ce-interp,e05d40b295e85d77a8acec3ed38fafaa120d8c57,10455,10361,6730,100538
Permute,game-benchs-steady,TruffleRuby-ce-native,e05d40b295e85d77a8acec3ed38fafaa120d8c57,3337,3316,694,4692
Json,game-benchs-interp,TruffleRuby-ce-interp,e05d40b295e85d77a8acec3ed38fafaa120d8c57,3390,3368,731,6432
MatrixMultiply,ruby-benchs-steady,TruffleRuby-ce,e05d40b295e85d77a8acec3ed38fafaa120d8c57,3639,3579,2882,33361
MatrixMultiply,ruby-benchs-steady,TruffleRuby-ce-native,e05d40b295e85d77a8acec3ed38fafaa120d8c57,3503,3478,775,5475
Acid,ruby-benchs-steady,TruffleRuby-ce-native,e05d40b295e85d77a8acec3ed38fafaa120d8c57,3461,3439,750,4747
RedBlack,ruby-benchs-steady,TruffleRuby-ce,e05d40b295e85d77a8acec3ed38fafaa120d8c57,4377,4314,3476,34715
Acid,ruby-benchs-steady,TruffleRuby-ce,e05d40b295e85d77a8acec3ed38fafaa120d8c57,3597,3540,2857,32633
BinaryTrees,yjit-benchs-interp,TruffleRuby-ce-interp,e05d40b295e85d77a8acec3ed38fafaa120d8c57,3747,3724,898,5676
Json,game-benchs-steady,TruffleRuby-ce,e05d40b295e85d77a8acec3ed38fafaa120d8c57,3526,3469,2838,34318
Sieve,game-benchs-interp,TruffleRuby-ce-interp,e05d40b295e85d77a8acec3ed38fafaa120d8c57,3322,3301,681,4663
MailBench,yjit-benchs-steady,TruffleRuby-ce,e05d40b295e85d77a8acec3ed38fafaa120d8c57,30074,29805,25862,710530
MailBench,yjit-benchs-interp,TruffleRuby-ce-interp,e05d40b295e85d77a8acec3ed38fafaa120d8c57,29975,29740,23784,683030
Mandelbrot,game-benchs-steady,TruffleRuby-ce,e05d40b295e85d77a8acec3ed38fafaa120d8c57,3343,3290,2732,32658
Bounce,game-benchs-steady,TruffleRuby-ce-native,e05d40b295e85d77a8acec3ed38fafaa120d8c57,3397,3375,718,5025
BinaryTrees,yjit-benchs-steady,TruffleRuby-ce-native,e05d40b295e85d77a8acec3ed38fafaa120d8c57,3747,3724,898,5676
BinaryTrees,ruby-benchs-interp,TruffleRuby-ce-interp,e05d40b295e85d77a8acec3ed38fafaa120d8c57,3747,3724,898,5676
Bounce,game-benchs-interp,TruffleRuby-ce-interp,e05d40b295e85d77a8acec3ed38fafaa120d8c57,3397,3375,718,5025
Towers,game-benchs-steady,TruffleRuby-ce-native,e05d40b295e85d77a8acec3ed38fafaa120d8c57,3326,3305,683,4830
BinaryTrees,ruby-benchs-steady,TruffleRuby-ce-native,e05d40b295e85d77a8acec3ed38fafaa120d8c57,3747,3724,898,5676
Bounce,game-benchs-steady,TruffleRuby-ce,e05d40b295e85d77a8acec3ed38fafaa120d8c57,3533,3476,2825,32911
BinaryTrees,ruby-benchs-steady,TruffleRuby-ce,e05d40b295e85d77a8acec3ed38fafaa120d8c57,3883,3825,3005,33562
Sieve,game-benchs-steady,TruffleRuby-ce-native,e05d40b295e85d77a8acec3ed38fafaa120d8c57,3322,3301,681,4663
Sieve,game-benchs-steady,TruffleRuby-ce,e05d40b295e85d77a8acec3ed38fafaa120d8c57,3458,3402,2788,32549
Permute,game-benchs-interp,TruffleRuby-ce-interp,e05d40b295e85d77a8acec3ed38fafaa120d8c57,3337,3316,694,4692
Acid,ruby-benchs-interp,TruffleRuby-ce-interp,e05d40b295e85d77a8acec3ed38fafaa120d8c57,3461,3439,750,4747
LiquidCartParse,ruby-benchs-steady,TruffleRuby-ce-native,e05d40b295e85d77a8acec3ed38fafaa120d8c57,10448,10354,6723,100584
MailBench,yjit-benchs-steady,TruffleRuby-ce-native,e05d40b295e85d77a8acec3ed38fafaa120d8c57,29968,29733,23777,683030
LiquidCartParse,ruby-benchs-steady,TruffleRuby-ce,e05d40b295e85d77a8acec3ed38fafaa120d8c57,32842,32603,28984,157019
RedBlack,ruby-benchs-steady,TruffleRuby-ce-native,e05d40b295e85d77a8acec3ed38fafaa120d8c57,4241,4213,1369,6829
Mandelbrot,game-benchs-steady,TruffleRuby-ce-native,e05d40b295e85d77a8acec3ed38fafaa120d8c57,3207,3189,625,4772
NBody,game-benchs-steady,TruffleRuby-ce,e05d40b295e85d77a8acec3ed38fafaa120d8c57,3516,3458,2835,33262
PsychLoad,yjit-benchs-steady,TruffleRuby-ce-native,e05d40b295e85d77a8acec3ed38fafaa120d8c57,8384,8307,4925,43688
AsciidoctorConvertSmall,ruby-benchs-steady,TruffleRuby-ce-native,e05d40b295e85d77a8acec3ed38fafaa120d8c57,17662,17528,13788,47584
AsciidoctorConvertSmall,ruby-benchs-steady,TruffleRuby-ce,e05d40b295e85d77a8acec3ed38fafaa120d8c57,39491,39215,35637,105476
CD,game-benchs-steady,TruffleRuby-ce,e05d40b295e85d77a8acec3ed38fafaa120d8c57,3857,3795,3162,35528
Queens,game-benchs-steady,TruffleRuby-ce,e05d40b295e85d77a8acec3ed38fafaa120d8c57,3668,3608,2891,32674
Queens,game-benchs-steady,TruffleRuby-ce-native,e05d40b295e85d77a8acec3ed38fafaa120d8c57,3532,3507,784,4788
LiquidCartRender,ruby-benchs-steady,TruffleRuby-ce,e05d40b295e85d77a8acec3ed38fafaa120d8c57,36589,36324,32302,208282
ImageDemoConv,ruby-benchs-interp,TruffleRuby-ce-interp,e05d40b295e85d77a8acec3ed38fafaa120d8c57,3348,3326,699,5921
NBody,game-benchs-steady,TruffleRuby-ce-native,e05d40b295e85d77a8acec3ed38fafaa120d8c57,3380,3357,728,5376
SinatraHello,ruby-benchs-steady,TruffleRuby-ce-native,e05d40b295e85d77a8acec3ed38fafaa120d8c57,33568,33251,24532,297298
LiquidCartRender,ruby-benchs-interp,TruffleRuby-ce-interp,e05d40b295e85d77a8acec3ed38fafaa120d8c57,15257,15129,11040,152982
LiquidCartRender,ruby-benchs-steady,TruffleRuby-ce-native,e05d40b295e85d77a8acec3ed38fafaa120d8c57,15250,15122,11033,152982
LeeBench,game-benchs-interp,TruffleRuby-ce-interp,e05d40b295e85d77a8acec3ed38fafaa120d8c57,9194,9092,5107,19011
SpectralNorm,game-benchs-interp,TruffleRuby-ce-interp,e05d40b295e85d77a8acec3ed38fafaa120d8c57,3612,3584,878,5592
SinatraHello,ruby-benchs-interp,TruffleRuby-ce-interp,e05d40b295e85d77a8acec3ed38fafaa120d8c57,33646,33329,24610,297260
PsychLoad,yjit-benchs-interp,TruffleRuby-ce-interp,e05d40b295e85d77a8acec3ed38fafaa120d8c57,8384,8307,4925,43688
PsychLoad,yjit-benchs-steady,TruffleRuby-ce,e05d40b295e85d77a8acec3ed38fafaa120d8c57,28655,28439,25406,99746
SinatraHello,ruby-benchs-steady,TruffleRuby-ce,e05d40b295e85d77a8acec3ed38fafaa120d8c57,33784,33433,26727,324794
CD,game-benchs-steady,TruffleRuby-ce-native,e05d40b295e85d77a8acec3ed38fafaa120d8c57,3721,3694,1055,7642
FannkuchRedux,yjit-benchs-interp,TruffleRuby-ce-interp,e05d40b295e85d77a8acec3ed38fafaa120d8c57,3540,3517,811,5564
NBody,game-benchs-interp,TruffleRuby-ce-interp,e05d40b295e85d77a8acec3ed38fafaa120d8c57,3342,3319,690,5376
FannkuchRedux,yjit-benchs-steady,TruffleRuby-ce,e05d40b295e85d77a8acec3ed38fafaa120d8c57,3676,3618,2918,33450
FannkuchRedux,yjit-benchs-steady,TruffleRuby-ce-native,e05d40b295e85d77a8acec3ed38fafaa120d8c57,3540,3517,811,5564
AsciidoctorConvertSmall,ruby-benchs-interp,TruffleRuby-ce-interp,e05d40b295e85d77a8acec3ed38fafaa120d8c57,16930,16797,13064,47247
OptCarrot,ruby-benchs-steady,TruffleRuby-ce-native,e05d40b295e85d77a8acec3ed38fafaa120d8c57,20627,20486,13425,25308
ImageDemoConv,ruby-benchs-steady,TruffleRuby-ce-native,e05d40b295e85d77a8acec3ed38fafaa120d8c57,3348,3326,699,5921
SpectralNorm,game-benchs-steady,TruffleRuby-ce-native,e05d40b295e85d77a8acec3ed38fafaa120d8c57,3591,3563,857,5592
OptCarrot,ruby-benchs-interp,TruffleRuby-ce-interp,e05d40b295e85d77a8acec3ed38fafaa120d8c57,17429,17294,10364,25308
LeeBench,game-benchs-steady,TruffleRuby-ce,e05d40b295e85d77a8acec3ed38fafaa120d8c57,9201,9065,7093,46522
CD,game-benchs-interp,TruffleRuby-ce-interp,e05d40b295e85d77a8acec3ed38fafaa120d8c57,3721,3694,1055,7642
LeeBench,game-benchs-steady,TruffleRuby-ce-native,e05d40b295e85d77a8acec3ed38fafaa120d8c57,9194,9092,5107,19017
Queens,game-benchs-interp,TruffleRuby-ce-interp,e05d40b295e85d77a8acec3ed38fafaa120d8c57,3532,3507,784,4788
SpectralNorm,game-benchs-steady,TruffleRuby-ce,e05d40b295e85d77a8acec3ed38fafaa120d8c57,3748,3685,2985,33478
ImageDemoConv,ruby-benchs-steady,TruffleRuby-ce,e05d40b295e85d77a8acec3ed38fafaa120d8c57,3484,3427,2806,33807
OptCarrot,ruby-benchs-steady,TruffleRuby-ce,e05d40b295e85d77a8acec3ed38fafaa120d8c57,20782,20607,15559,52810
AsciidoctorLoadFileSmall,ruby-benchs-steady,TruffleRuby-ce,e05d40b295e85d77a8acec3ed38fafaa120d8c57,36417,36166,32794,100226
