benchmark,suite,executor,commit,total_split_count,unforced_split_count,node_created_splitting,node_created_nosplitting
Permute,game-benchs-steady,TruffleRuby-ce,ef7779bee01a0a4721185c146dbb28b642527fc8,2856,2793,2135,32578
Json,game-benchs-steady,TruffleRuby-ce-native,ef7779bee01a0a4721185c146dbb28b642527fc8,2925,2902,839,6432
Towers,game-benchs-interp,TruffleRuby-ce-interp,ef7779bee01a0a4721185c146dbb28b642527fc8,2794,2773,735,4830
Mandelbrot,game-benchs-interp,TruffleRuby-ce-interp,ef7779bee01a0a4721185c146dbb28b642527fc8,2675,2657,677,4772
Towers,game-benchs-steady,TruffleRuby-ce,ef7779bee01a0a4721185c146dbb28b642527fc8,2845,2782,2124,32716
BinaryTrees,yjit-benchs-steady,TruffleRuby-ce,ef7779bee01a0a4721185c146dbb28b642527fc8,3854,3789,2927,33562
LiquidCartParse,ruby-benchs-interp,TruffleRuby-ce-interp,ef7779bee01a0a4721185c146dbb28b642527fc8,13600,13488,10244,100538
Permute,game-benchs-steady,TruffleRuby-ce-native,ef7779bee01a0a4721185c146dbb28b642527fc8,2805,2784,746,4692
Json,game-benchs-interp,TruffleRuby-ce-interp,ef7779bee01a0a4721185c146dbb28b642527fc8,2925,2902,839,6432
MatrixMultiply,ruby-benchs-steady,TruffleRuby-ce,ef7779bee01a0a4721185c146dbb28b642527fc8,3022,2955,2216,33361
MatrixMultiply,ruby-benchs-steady,TruffleRuby-ce-native,ef7779bee01a0a4721185c146dbb28b642527fc8,2971,2946,827,5475
Acid,ruby-benchs-steady,TruffleRuby-ce-native,ef7779bee01a0a4721185c146dbb28b642527fc8,2929,2907,802,4747
RedBlack,ruby-benchs-steady,TruffleRuby-ce,ef7779bee01a0a4721185c146dbb28b642527fc8,5458,5382,4340,34715
Acid,ruby-benchs-steady,TruffleRuby-ce,ef7779bee01a0a4721185c146dbb28b642527fc8,2980,2916,2191,32633
BinaryTrees,yjit-benchs-interp,TruffleRuby-ce-interp,ef7779bee01a0a4721185c146dbb28b642527fc8,3803,3780,1538,5676
Json,game-benchs-steady,TruffleRuby-ce,ef7779bee01a0a4721185c146dbb28b642527fc8,2976,2911,2228,34318
Sieve,game-benchs-interp,TruffleRuby-ce-interp,ef7779bee01a0a4721185c146dbb28b642527fc8,2790,2769,733,4663
MailBench,yjit-benchs-steady,TruffleRuby-ce,ef7779bee01a0a4721185c146dbb28b642527fc8,69131,68616,60044,710530
MailBench,yjit-benchs-interp,TruffleRuby-ce-interp,ef7779bee01a0a4721185c146dbb28b642527fc8,69861,69385,59412,683030
Mandelbrot,game-benchs-steady,TruffleRuby-ce,ef7779bee01a0a4721185c146dbb28b642527fc8,2726,2666,2066,32658
Bounce,game-benchs-steady,TruffleRuby-ce-native,ef7779bee01a0a4721185c146dbb28b642527fc8,2932,2909,826,5025
BinaryTrees,yjit-benchs-steady,TruffleRuby-ce-native,ef7779bee01a0a4721185c146dbb28b642527fc8,3803,3780,1538,5676
